,Unnamed: 0,payment_date,volume,is_workday,lag_30,lag_61,lag_91,ewm_7,ewm_30,ewm_91
134,134,2025-06-15,391.0,0,136.0,971.0,1344.0,406.2278608301033,509.07115965479585,720.8472884991321
135,135,2025-06-16,449.0,1,801.0,168.0,2240.0,416.92089562257746,505.19560096738974,714.9375648361075
136,136,2025-06-17,557.0,1,792.0,193.0,1984.0,451.9406717169331,508.5378202598162,711.5041395135835
137,137,2025-06-18,676.0,1,0.0,133.0,1824.0,507.9555037876998,519.3418318559571,710.732310393723
138,138,2025-06-19,734.0,1,615.0,272.0,891.0,564.4666278407749,533.1907459297664,711.2381297329898
139,139,2025-06-20,519.0,1,426.0,910.0,1410.0,553.0999708805812,532.2752139342977,707.0590399561856
140,140,2025-06-21,689.0,0,379.0,461.0,961.0,587.0749781604359,542.3864904546656,706.6664521310512
141,141,2025-06-22,129.0,0,252.0,453.0,619.0,472.5562336203269,515.7163942963001,694.1084857803762
142,142,2025-06-23,936.0,1,628.0,661.0,942.0,588.4171752152452,542.8314656320227,699.3669969590637
143,143,2025-06-24,0.0,1,979.0,297.0,1453.0,441.31288141143386,507.81008075253743,684.1633665903885
144,144,2025-06-25,238.0,1,584.0,0.0,1083.0,390.4846610585754,490.4029787685028,674.4641629688583
145,145,2025-06-26,696.0,1,373.0,941.0,1058.0,466.8634957939315,503.667302718922,674.9323333391006
146,146,2025-06-27,422.0,1,430.0,499.0,818.0,455.6476218454486,498.39844447899156,669.433804353468
147,147,2025-06-28,292.0,0,855.0,790.0,1752.0,414.73571638408646,485.0824158029276,661.2287216501317
148,148,2025-06-29,267.0,0,371.0,908.0,490.0,377.8017872880648,471.01258252531943,652.6585320490419
149,149,2025-06-30,396.0,1,0.0,714.0,1158.0,382.3513404660486,466.17306107207304,647.078998743628
150,150,2025-07-01,974.0,1,899.0,236.0,0.0,530.2635053495364,498.9360893900038,654.1859770318099
151,151,2025-07-02,785.0,1,687.0,293.0,1322.0,593.9476290121523,517.3918255583907,657.029760139814
152,152,2025-07-03,338.0,1,131.0,318.0,586.0,529.9607217591142,505.81815939333325,650.0943305715572
153,153,2025-07-04,508.0,1,987.0,503.0,996.0,524.4705413193357,505.95892330344077,647.0053233852191
154,154,2025-07-05,868.0,0,858.0,954.0,629.0,610.3529059895018,529.3164121225736,651.8095554855404
155,155,2025-07-06,0.0,0,833.0,682.0,915.0,457.76467949212633,495.1669661791818,637.6397825402025
156,156,2025-07-07,779.0,1,683.0,0.0,1428.0,538.0735096190947,513.4787748127831,640.7128307458503
157,157,2025-07-08,259.0,1,371.0,525.0,1238.0,468.305132214321,497.0607893409906,632.4147257296362
158,158,2025-07-09,737.0,1,978.0,982.0,1298.0,535.4788491607408,512.5407384157654,634.6883186485571
159,159,2025-07-10,463.0,1,217.0,181.0,1053.0,517.3591368705556,509.34456174378056,630.9559638953276
160,160,2025-07-11,792.0,1,159.0,810.0,1430.0,586.0193526529167,527.5803964699883,634.456921201951
161,161,2025-07-12,521.0,0,0.0,681.0,329.0,569.7645144896876,527.1558547622471,631.990466393213
162,162,2025-07-13,417.0,0,315.0,766.0,0.0,531.5733858672656,520.0490254227474,627.3167606020562
163,163,2025-07-14,114.0,1,603.0,976.0,680.0,427.18003940044923,493.8523141051508,616.157700588968
164,164,2025-07-15,806.0,1,391.0,591.0,971.0,521.8850295503369,513.9908744854637,620.2847070979035
165,165,2025-07-16,921.0,1,449.0,136.0,168.0,621.6637721627526,540.249527744466,626.821996074036
166,166,2025-07-17,529.0,1,557.0,801.0,193.0,598.4978291220644,539.5237517609521,624.6954309419917
167,167,2025-07-18,0.0,1,676.0,792.0,133.0,448.8733718415483,504.7157677763746,611.1150954867311
168,168,2025-07-19,377.0,0,734.0,0.0,272.0,430.90502888116123,496.47604082306015,606.0256368891934
169,169,2025-07-20,800.0,0,519.0,615.0,910.0,523.1787716608709,516.0582317377015,610.2424708698632
170,170,2025-07-21,557.0,1,689.0,426.0,461.0,531.6340787456531,518.6996361417207,609.0850258509531
171,171,2025-07-22,755.0,1,129.0,379.0,453.0,587.4755590592399,533.944820906771,612.2570905063671
172,172,2025-07-23,761.0,1,936.0,252.0,661.0,630.8566692944299,548.5935421385923,615.4906320170984
173,173,2025-07-24,632.0,1,0.0,628.0,297.0,631.1425019708224,553.9746039361024,615.8495313210746
174,174,2025-07-25,422.0,1,238.0,979.0,0.0,578.8568764781169,545.4601133595797,611.6354110749643
175,175,2025-07-26,715.0,0,696.0,584.0,941.0,612.8926573585877,556.3981705621875,613.8824673559434
176,176,2025-07-27,916.0,0,422.0,373.0,499.0,688.6694930189408,579.5982885904335,620.4502398047273
177,177,2025-07-28,224.0,1,292.0,430.0,790.0,572.5021197642056,556.6564635200831,611.8317563307114
178,178,2025-07-29,760.0,1,267.0,855.0,908.0,619.3765898231543,569.7754013574971,615.0528051061307
179,179,2025-07-30,0.0,1,396.0,371.0,714.0,464.5324423673657,533.0156980441102,601.6820919516496
180,180,2025-07-31,939.0,1,974.0,0.0,236.0,583.1493317755243,559.2082336541677,609.0150899527007
181,181,2025-08-01,428.0,1,785.0,899.0,293.0,544.3619988316432,550.7431863216408,605.0799793015551
182,182,2025-08-02,217.0,0,338.0,687.0,318.0,462.5214991237324,529.2113678492769,596.643458012391
183,183,2025-08-03,457.0,0,508.0,131.0,503.0,461.1411243427993,524.5525699235171,593.6077306642954
184,184,2025-08-04,573.0,1,868.0,987.0,954.0,489.1058432570995,527.6782105736128,593.1597365194194
185,185,2025-08-05,331.0,1,0.0,858.0,682.0,449.5793824428246,514.989293762412,587.4606118124755
186,186,2025-08-06,450.0,1,779.0,833.0,0.0,449.68453683211845,510.7964361003209,584.472337642639
187,187,2025-08-07,743.0,1,259.0,683.0,525.0,523.0134026240888,525.7773111906229,587.9185911721469
188,188,2025-08-08,533.0,1,737.0,371.0,982.0,525.5100519680666,526.2432911138085,586.7247087553611
189,189,2025-08-09,735.0,0,463.0,978.0,181.0,577.88253897605,539.7114658806596,589.9480846519838
190,190,2025-08-10,943.0,0,792.0,217.0,810.0,669.1619042320375,565.7300809851332,597.6231262899842
191,191,2025-08-11,0.0,1,521.0,159.0,681.0,501.8714281740281,529.2313660828665,584.6313191967237
192,192,2025-08-12,462.0,1,417.0,0.0,766.0,491.9035711305211,524.8938585936494,581.9654209533167
193,193,2025-08-13,555.0,1,114.0,315.0,976.0,507.67767834789083,526.8361902972849,581.3792161499837
194,194,2025-08-14,126.0,1,806.0,603.0,591.0,412.2582587609181,500.9757909232666,571.4796679728101
195,195,2025-08-15,734.0,1,921.0,391.0,136.0,492.6936940706886,516.009610863701,575.0127186690534
196,196,2025-08-16,994.0,0,529.0,449.0,801.0,618.0202705530164,546.8477004853978,584.1211378284218
197,197,2025-08-17,689.0,0,0.0,557.0,792.0,635.7652029147623,556.0188165831141,586.4011130930213
198,198,2025-08-18,848.0,1,377.0,676.0,0.0,688.8239021860718,574.8563122874294,592.088045417086
199,199,2025-08-19,966.0,1,800.0,734.0,615.0,758.1179266395538,600.091388914047,600.2165661688886
200,200,2025-08-20,358.0,1,557.0,519.0,426.0,658.0884449796654,584.4725896292698,594.9509886434779
201,201,2025-08-21,402.0,1,755.0,689.0,379.0,594.066333734749,572.7001644918976,590.7564019338371
202,202,2025-08-22,830.0,1,761.0,129.0,252.0,653.0497503010617,589.3001538795171,595.9573497178842
203,203,2025-08-23,0.0,0,632.0,936.0,628.0,489.7873127257963,551.2807891130967,583.0017551587998
204,204,2025-08-24,426.0,0,422.0,0.0,979.0,473.84048454434725,543.1981575574131,579.5886735249129
205,205,2025-08-25,363.0,1,715.0,238.0,584.0,446.13036340826045,531.5724699730639,574.8802241004583
206,206,2025-08-26,393.0,1,916.0,696.0,373.0,432.8477725561953,522.632310619963,570.926306185231
